,x,y,name,1128,1307,1131,1070,1107,1139,1145,1092,1140,1138,1129,1122,1399,1311,1200,1692,1105,1103,1433,1121,1137,1309,1658,1654,1134,1054,1308,1167,1507,1651,1117,1383,1414,1360,1106,1132,1404,1259,1344,1642,1412,1244,1403
122,1454,,/Users/akshitshishodia/tracker/roboDK /pred/122.png,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
123,1454,,/Users/akshitshishodia/tracker/roboDK /pred/123.png,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
124,1472,,/Users/akshitshishodia/tracker/roboDK /pred/124.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1488,,/Users/akshitshishodia/tracker/roboDK /pred/125.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1476,,/Users/akshitshishodia/tracker/roboDK /pred/126.png,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,
127,1477,,/Users/akshitshishodia/tracker/roboDK /pred/127.png,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,
128,1488,,/Users/akshitshishodia/tracker/roboDK /pred/128.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1472,,/Users/akshitshishodia/tracker/roboDK /pred/129.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,1470,,/Users/akshitshishodia/tracker/roboDK /pred/130.png,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,
131,1472,,/Users/akshitshishodia/tracker/roboDK /pred/131.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1477,,/Users/akshitshishodia/tracker/roboDK /pred/132.png,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,
133,1469,,/Users/akshitshishodia/tracker/roboDK /pred/133.png,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1472,,/Users/akshitshishodia/tracker/roboDK /pred/134.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1488,,/Users/akshitshishodia/tracker/roboDK /pred/135.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1477,,/Users/akshitshishodia/tracker/roboDK /pred/136.png,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,
137,1476,,/Users/akshitshishodia/tracker/roboDK /pred/137.png,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,
